entity,name,website
http://www.wikidata.org/entity/Q18356458,Frimley Health NHS Foundation Trust,https://www.fhft.nhs.uk/
http://www.wikidata.org/entity/Q16992671,Gateshead Health NHS Foundation Trust,https://www.qegateshead.nhs.uk/
http://www.wikidata.org/entity/Q18343921,George Eliot Hospital NHS Trust,http://www.geh.nhs.uk/
http://www.wikidata.org/entity/Q72592238,Gloucestershire Health and Care NHS Foundation Trust,https://ghc.nhs.uk/
http://www.wikidata.org/entity/Q50376943,Gloucestershire Hospitals NHS Foundation Trust,https://www.gloshospitals.nhs.uk/
http://www.wikidata.org/entity/Q19873658,Great Ormond Street Hospital for Children NHS Foundation Trust,https://www.gosh.nhs.uk/
http://www.wikidata.org/entity/Q5600196,Great Western Hospitals NHS Foundation Trust,https://www.gwh.nhs.uk/
http://www.wikidata.org/entity/Q16993309,Greater Manchester Mental Health NHS Foundation Trust,https://www.gmmh.nhs.uk/
http://www.wikidata.org/entity/Q16993504,Guy's and St Thomas' NHS Foundation Trust,https://www.guysandstthomas.nhs.uk/
http://www.wikidata.org/entity/Q16969403,Hampshire Hospitals NHS Foundation Trust,https://www.hampshirehospitals.nhs.uk/
http://www.wikidata.org/entity/Q130457308,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,https://hiowhealthcare.nhs.uk/
http://www.wikidata.org/entity/Q5666409,Harrogate and District NHS Foundation Trust,http://www.hdft.nhs.uk
http://www.wikidata.org/entity/Q16960866,Herefordshire and Worcestershire Health and Care NHS Trust,https://www.hacw.nhs.uk/
http://www.wikidata.org/entity/Q21061842,Hertfordshire Community NHS Trust,https://www.hct.nhs.uk/
http://www.wikidata.org/entity/Q16993973,Hertfordshire Partnership University NHS Foundation Trust,http://www.hpft.nhs.uk/
http://www.wikidata.org/entity/Q5890379,Homerton Healthcare NHS Foundation Trust,https://www.homerton.nhs.uk/
http://www.wikidata.org/entity/Q21592499,Hounslow and Richmond Community Healthcare NHS Trust,https://hrch.nhs.uk/
http://www.wikidata.org/entity/Q5936029,Hull University Teaching Hospitals NHS Trust,https://www.hull.nhs.uk/
http://www.wikidata.org/entity/Q16963841,Humber Teaching NHS Foundation Trust,https://www.humber.nhs.uk/
http://www.wikidata.org/entity/Q14956770,Imperial College Healthcare NHS Trust,https://www.imperial.nhs.uk/
http://www.wikidata.org/entity/Q16995139,Isle of Wight NHS Trust,https://www.iow.nhs.uk/
http://www.wikidata.org/entity/Q81654791,James Paget University Hospitals NHS Foundation Trust,https://www.jpaget.nhs.uk/
http://www.wikidata.org/entity/Q19597637,Kent Community Health NHS Foundation Trust,https://www.kentcht.nhs.uk/
http://www.wikidata.org/entity/Q16995620,Kent and Medway Mental Health NHS Trust,https://www.kentmedwaymentalhealth.nhs.uk/
http://www.wikidata.org/entity/Q30254131,Kettering General Hospital NHS Trust,https://www.kgh.nhs.uk
http://www.wikidata.org/entity/Q30288170,King's College Hospital NHS Foundation Trust,https://www.kch.nhs.uk/
http://www.wikidata.org/entity/Q6413546,Kingston Hospital NHS Foundation Trust,https://www.kingstonhospital.nhs.uk/
http://www.wikidata.org/entity/Q131170725,Kingston and Richmond NHS Foundation Trust,https://www.kingstonandrichmond.nhs.uk/
http://www.wikidata.org/entity/Q6483045,Lancashire Teaching Hospitals NHS Foundation Trust,https://www.lancsteachinghospitals.nhs.uk/
http://www.wikidata.org/entity/Q16939051,Lancashire and South Cumbria NHS Foundation Trust,https://www.lscft.nhs.uk/
http://www.wikidata.org/entity/Q16966284,Leeds Community Healthcare NHS Trust,http://www.leedscommunityhealthcare.nhs.uk/
http://www.wikidata.org/entity/Q6516115,Leeds Teaching Hospitals NHS Trust,https://www.leedsth.nhs.uk/
http://www.wikidata.org/entity/Q16964314,Leeds and York Partnership NHS Foundation Trust,http://www.leedsandyorkpft.nhs.uk/
http://www.wikidata.org/entity/Q16937150,Leicestershire Partnership NHS Trust,https://www.leicspart.nhs.uk/
http://www.wikidata.org/entity/Q16996252,Lewisham and Greenwich NHS Trust,https://www.lewishamandgreenwich.nhs.uk/
http://www.wikidata.org/entity/Q22906381,Lincolnshire Community Health Services NHS Trust,https://www.lincolnshirecommunityhealthservices.nhs.uk/
http://www.wikidata.org/entity/Q16966028,Lincolnshire Partnership NHS Foundation Trust,https://www.lpft.nhs.uk/
http://www.wikidata.org/entity/Q16996755,Liverpool Heart and Chest Hospital NHS Foundation Trust,https://www.lhch.nhs.uk/
http://www.wikidata.org/entity/Q85781777,Liverpool University Hospitals NHS Foundation Trust,https://www.uhliverpool.nhs.uk/
http://www.wikidata.org/entity/Q6658631,Liverpool Women's NHS Foundation Trust,https://www.liverpoolwomens.nhs.uk/
http://www.wikidata.org/entity/Q19597771,London North West University Healthcare NHS Trust,https://www.lnwh.nhs.uk/
http://www.wikidata.org/entity/Q20979091,Luton and Dunstable University Hospital NHS Foundation Trust,https://www.ldh.nhs.uk/
http://www.wikidata.org/entity/Q16997207,Maidstone and Tunbridge Wells NHS Trust,https://www.mtw.nhs.uk/
http://www.wikidata.org/entity/Q39087594,Manchester University NHS Foundation Trust,https://mft.nhs.uk/
http://www.wikidata.org/entity/Q6807412,Medway NHS Foundation Trust,https://www.medway.nhs.uk/
http://www.wikidata.org/entity/Q16997646,Mersey Care NHS Foundation Trust,http://www.merseycare.nhs.uk/
http://www.wikidata.org/entity/Q120357211,Mersey and West Lancashire Teaching Hospitals NHS Trust,https://www.merseywestlancs.nhs.uk/
http://www.wikidata.org/entity/Q16997714,Mid Cheshire Hospitals NHS Foundation Trust,http://www.mcht.nhs.uk/
http://www.wikidata.org/entity/Q16975898,Mid Essex Hospital Services NHS Trust,https://www.meht.nhs.uk/
http://www.wikidata.org/entity/Q16997720,Mid Yorkshire Hospitals NHS Trust,http://www.midyorks.nhs.uk/
http://www.wikidata.org/entity/Q85785325,Mid and South Essex NHS Foundation Trust,https://www.mse.nhs.uk/
http://www.wikidata.org/entity/Q56292781,Midlands Partnership NHS Foundation Trust,https://www.mpft.nhs.uk/
http://www.wikidata.org/entity/Q30293403,Milton Keynes University Hospital NHS Foundation Trust,https://www.mkuh.nhs.uk/
http://www.wikidata.org/entity/Q25172222,Moorfields Eye Hospital NHS Foundation Trust,https://www.moorfields.nhs.uk/
http://www.wikidata.org/entity/Q22907349,Norfolk Community Health and Care NHS Trust,http://www.norfolkcommunityhealthandcare.nhs.uk/
http://www.wikidata.org/entity/Q7051138,Norfolk and Norwich University Hospitals NHS Foundation Trust,https://www.nnuh.nhs.uk
